,F12014,F22014,F32014,F42014,F52014,F62014,F72014,F82014,F92014,F102014,F112014,F122014,F132014,F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F12020,F22020,F32020,F42020,F12022,F22022,F32022,F42022
22,37808416.54768648,663896141.1140001,10647.408275120992,491.50872050855924,520.3165288081348,606.3682841963712,706.1128067339783,829.000691093495,933.8307298323942,-585.5928074597769,1274.496227470071,1201.0155542484206,1300.3225190977844,1190095965.414829,5963.158912168443,379.17952894421626,2313.8497549794665,500.0029595051046,9665.297856618787,772.0000707505081,802.4773173849069,-386.2301963751315,1190095965.414829,711.6244094220565,32893.59975233125,2268.4538359321728,702.8999053191806,608.546500791358,600.0006190499607,900.5012224163378
23,34691866.95360647,361882512.41356474,8689.112583309608,461.8349829616383,520.4981116181984,610.589988615605,703.707280089996,851.7380370165495,947.6902161926822,119.19543259325837,210.1057693277089,1201.3966563939257,1300.6464983993903,1776111564.4820504,4033.712016359782,462.96477201621894,2145.347512377596,500.0003382725323,29376.123477025896,838.5000003899197,802.1761172795101,283.57164160007596,1776111564.4820504,-389.1825698214361,51723.823063179014,2219.6098776607073,998.7057230116648,544.8331589475056,600.0189158937956,850.0211692137817
24,9359666.280098675,2476284610.689536,2426.269157510698,698.75789948745,520.4796807301205,610.5132662255394,724.016281636053,857.1024509302958,951.9048198156139,123.44278814117843,904.9275371151707,1201.1991927619829,1300.5287488037766,713600279.859508,5508.302635808982,368.95098218216265,2111.0098474934794,500.0000502803366,79902.34409257925,772.0006699189238,802.2050440011138,347.4670937243909,713600279.859508,-76.17990628772895,43649.14180306609,1992.5998919228746,832.9988370536635,1036.4195920627621,600.0313657215275,862.002817203133
25,45534174.18616108,420878818.61014926,9509.427656015696,631.8815957962669,520.4543497986043,611.1473806177731,708.6168134727315,847.0090631193822,949.9131897923207,119.56998687265786,-498.79264098351905,1201.022263193175,1300.4990700531068,4540423939.800211,5626.9573541030295,399.129461286995,2526.0843271067747,500.0005875981602,36084.84562803408,762.0001487046812,802.5086626291497,67.23228787113385,4540423939.800211,-947.5188418209555,20818.93452551629,1921.0658919727261,965.256110624145,597.8682945632238,600.0061343121898,846.0000027698683
26,3779433.339908029,1391289944.101359,6536.073031249415,583.2555402247426,520.5030006037106,610.8762987573629,706.0419113044094,839.3591411636638,941.5485143933605,-17.53682809534439,-73.75097663857377,1200.8473584088954,1300.5652512879717,2347053142.361889,2876.8221781788766,438.12573453992565,2323.4558137342206,500.0001991078668,23528.00409941424,774.0000000448048,802.2572979178057,-102.47763264916557,2347053142.361889,994.1974270421815,15628.174526847364,2243.847546631058,1323.851701014595,498.54494260336446,600.0144433248338,848.2145126184456
27,4876200.00337303,1443899221.4519851,11150.491359158432,503.7104281371762,520.3772458372875,610.3259901608529,704.8123781369864,859.0865740263127,944.3319209160062,259.219042527292,469.90282462840696,1200.7880196077701,1300.4484291959932,6716300348.083419,5399.494463232627,480.3714769409202,1562.25452072451,500.0001121364199,34251.77540817151,764.0000014853392,802.540995707038,-419.4613865404235,6716300348.083419,-226.21431264085913,41410.27413371147,2602.357663092865,1614.9607959344964,633.5301405158829,600.0130217350027,840.0322268943163
28,18255036.29194123,1088806210.9775603,3764.846791223801,498.236176699511,520.3407688211294,610.2884045007546,712.3865490861418,853.5428254216633,950.9664311465427,120.9504852618229,899.2637185947024,1201.748180141418,1300.4919812131793,973827497.1848611,5322.525900232656,388.4871006603912,1206.7437589205724,500.0001535615752,12495.278855233004,762.0009229204163,802.7212199793502,158.44619369929023,973827497.1848611,577.63013426833,13186.174392032202,1925.404952800073,886.6819564722192,671.5249545007234,600.0138319855052,858.0137462207316
29,15289947.93720552,2691409336.905982,4755.35752967243,497.3657633845829,520.4109345905105,610.3246829189679,703.6595732739461,841.98801535693,939.2766537260723,122.2406374755592,502.0321736712049,1201.1091844320101,1300.4138698849074,470494623.0753212,6699.888635940716,349.66182446247444,1150.9212573715797,500.0002743667319,31229.413509957194,857.0000000027461,801.3034702954083,-551.8811032477824,470494623.0753212,27.46160850589058,63167.16104049668,1994.8219767233572,821.5051886895282,545.533785687736,600.0084144875266,841.6606433378189
30,6120237.274293026,1516182660.1275504,8469.69610500623,581.2808700003433,520.5172036096243,607.430651275236,705.9191297528953,830.7462166946464,951.9357921960233,123.20846160154633,902.9223782621893,1200.8011971895935,1300.467457404058,783588237.4265265,5813.866628919212,330.9596255405761,2675.66172558955,500.0000147757117,23379.00007086566,758.0636794529222,802.5518571120728,-743.2301913862284,783588237.4265265,1043.949935620626,22847.76188265167,2035.0880236641256,1283.8530000037506,634.9960525907695,600.0015625216095,852.0292183055171
31,11633622.61482169,1918256454.9306931,4803.851279385376,467.315736165559,520.4443003110516,606.4045965777423,707.9948854742893,846.8583313102566,950.9623432115707,120.58559417295783,891.4371214011207,1200.934342347835,1300.3534217035767,2349134957.0946054,8985.785951089361,480.1107765238868,1129.8694807189147,500.00001566612036,19409.579572901202,784.6382586198396,801.969039039896,-177.38450172999455,2349134957.0946054,377.47886087510506,51259.81868155185,2087.762282280363,977.5381812083403,514.5365124670082,600.006098140973,832.000698857547
32,12569058.262897622,412484099.4474461,5950.984482472617,438.812420800631,520.5364205189046,611.068278963596,711.589300301415,828.491926017087,943.837417315364,121.39164666727629,1411.1030390210735,1200.7558048082917,1300.5122581191115,4440779673.511259,11836.141341088834,477.2842582473678,2023.2110571656651,500.00006308553435,12380.389881835234,756.0000351560963,802.2895224242304,3.2604288038419327,4440779673.511259,80.74742721415896,34571.5590699668,1920.464609104707,720.645239105503,531.7246369356319,600.0309667916035,848.0082198299528
33,14001056.873672444,264356478.17701182,9200.211941755813,465.84512063116654,520.4599649885724,610.3262708988666,707.1665397732803,850.8659587906022,924.024375306355,259.14099733076273,884.164388723194,1201.5208831158022,1300.4095897420152,397209459.0765206,4623.87601659395,400.03588489228963,1053.430397586181,500.0000225252466,23025.607309896655,772.0000003105285,801.8663365377923,-44.48314417463553,397209459.0765206,780.5199742257155,16488.120498308665,2162.0784505686615,971.2167693732689,478.4252621455684,600.0234119539456,846.3392016363144
34,8681636.685108615,1452307425.4803588,5239.056890449704,507.57309061817546,520.4520352046997,609.7063374361236,704.8522539316343,845.4755211704663,941.7825658219929,120.17643524734558,1085.9165299606184,1201.1151791619072,1300.455461800407,1570479592.9468536,5776.993857495512,421.58753851177136,2591.854746807052,500.00002955996933,28742.674092354973,740.0008993295844,801.8296265389927,-787.3129917271553,1570479592.9468536,1228.084107460587,43365.60280314182,1924.0820798221662,1739.6023663628973,577.5581094152162,600.0052577894606,850.0069425373841
35,15529339.72066552,1996009291.687132,7879.543419779143,927.2893270101565,520.4289074853674,609.0820069615314,707.312602709229,852.8752511909063,946.4180183838531,69.79985788905742,-639.7978623385598,1200.7946479527282,1300.6939197524985,338838446.1284511,6518.243006651509,361.0410031758391,1457.7059245861797,500.0001713267886,42144.56332839864,764.0364746398275,802.270915032595,17.238129680435122,338838446.1284511,-144.24433900727672,22990.5471808645,4408.283679019083,2390.1605987199455,513.888161550558,600.0098771521308,838.0005946117259
36,22536440.401185248,2176411080.536448,9300.052743605216,470.1391922679577,520.4274862307195,609.9863702818581,709.6047826036472,853.8325648325595,950.8604583684952,120.62136470033238,191.03757629927804,1201.4787227722525,1300.457105356291,3026314637.2386775,8834.27956638608,381.19510497558133,1718.812440518014,500.0003081851741,31637.761429516268,768.0000035571611,803.4634900417584,-495.23207737959456,3026314637.2386775,703.0890248618352,48985.84983659624,2573.5659461304012,1202.6872360840684,924.7835016892465,600.0322404968089,854.0016920063955
37,11237551.517405702,219124465.19976854,10730.77195003721,604.6102983714622,520.4676020877612,607.4248865440305,701.5360939303074,838.8853196212463,937.5063148495201,257.07242012254665,904.9086481563909,1200.9097433893103,1301.4192016405013,2384603058.961818,6320.36836454323,372.9711124314996,2476.781410334489,500.0005464161901,39539.965911872525,766.0007149439464,802.6705195275349,306.58701729741097,2384603058.961818,355.63566126569276,23257.905998375416,1951.490161680823,506.029567830411,795.8500074074777,600.0405716814123,836.0217494027244
38,18847475.977789797,1006431452.3091841,10023.70358461833,671.9287640251664,520.3860704130236,611.0615598306778,704.296157150996,835.6407711315672,929.280585411875,204.04540949753755,901.3906008539461,1200.9705955818015,1300.552168271683,2961038821.4979973,4680.606779608265,340.3894165690136,2139.077604223973,500.0004821973648,43962.08589321482,764.0024177016664,801.133507031292,338.2108197087864,2961038821.4979973,686.4186611808018,34766.43195368563,4214.389060591386,1220.8836144880606,581.96424344038,600.0147709514716,888.2170870399581
39,30456581.90462337,1183046504.1194067,5584.594994065253,625.0396528563174,520.5029984811654,608.4570112317834,708.969556580532,856.3009261210718,943.8920532470247,-1007.1045564507676,-36.33972291509144,1200.925330457202,1300.5114875567795,1066646513.7742252,5030.659991565363,387.1200990380678,1336.00621233108,500.000643535732,28642.42585229365,784.0000004249091,802.6267132958064,-153.9774638850513,1066646513.7742252,1042.1781836851196,20899.99533394713,1953.7593879157441,684.8561172703736,543.6297034417622,600.0197663499499,852.4596721756428
